Id;Label;EntityType;RiskScore;Date
496;"thaibbqculver.com";"Domain";8.0;2019-01-17
497;"integramultimedia.com.mx";"Domain";8.0;2019-01-17
498;"motocheck.in";"Domain";8.0;2019-01-17
499;"ereservices.com";"Domain";8.0;2019-01-17
500;"myelectrive.com";"Domain";8.0;2019-01-17
501;"biengrandir37.com";"Domain";8.0;2019-01-17
502;"smartideabusiness.com";"Domain";8.0;2019-01-17
503;"site-1.work";"Domain";8.0;2019-01-17
504;"webknives.com";"Domain";8.0;2019-01-17
505;"expeditionabroad.com";"Domain";8.0;2019-01-17
506;"product-reviews.website";"Domain";8.0;2019-01-17
507;"fernandoherrera.me";"Domain";8.0;2019-01-17
508;"nowpropitup.com";"Domain";8.0;2019-01-17
509;"ghaniyu.com";"Domain";8.0;2019-01-17
510;"BINBANK";"Organization";5.0;2019-01-17
511;"chubanomania.icu";"Domain";8.0;2018-12-13
512;"spi.exe";"Software";8.0;2018-12-13
513;"ckZ89.ExE";"Software";8.0;2018-12-13
514;"До оплати від 11.12.18.lzh";"Software";8.0;2018-12-13
515;"Рахунки и новые списки.lzh";"Software";8.0;2018-12-13
516;"Рахунки за выполненные работы от 11.12.2018.js";"Software";8.0;2018-12-13
517;"До оплати рах.ф. 74 - 2018р.js";"Software";8.0;2018-12-13
518;"cmd.exe";"Software";8.0;2018-09-03
519;"Sonoko";"Software";8.0;2018-11-15
520;"Propagate";"Software";8.0;2018-11-15
521;"зг. дог рах. фак 708.js";"Software";8.0;2018-11-15
522;"sysm.exe";"Software";8.0;2018-11-15
523;"966449.exe";"Software";8.0;2018-11-15
524;"223329.exe";"Software";8.0;2018-11-15
525;"рахунки компания технік.zip";"Software";8.0;2018-11-15
526;"рахунки компания технік.lzh";"Software";8.0;2018-11-15
527;"07.11.18р список.docx";"Software";8.0;2018-11-15
528;"За текущий месяц рах.ф. Спецбуд.lzh";"Software";8.0;2018-11-15
529;"./рахунки ООО Спецстрой.xls.js";"Software";8.0;2018-11-15
530;"Адресса отгрузки.xlsx";"Software";8.0;2018-11-15
531;"Компания.png";"Software";8.0;2018-11-15
532;"districoperav.icu";"Domain";8.0;2018-11-15
533;"varanasiclick.ru";"Domain";8.0;2018-11-15
534;"ukrtel.net";"Domain";8.0;2018-11-15
535;"nx0.ru";"Domain";8.0;2018-11-15
536;"VPNFilter";"Software";8.0;2018-05-23
537;"Tor";"Software";8.0;2018-05-23
538;"photobucket.com";"Domain";8.0;2018-05-23
539;"toknowall.com";"Domain";8.0;2018-05-23
540;"zuh3vcyskd4gipkm.onion";"Domain";8.0;2018-05-23
541;"Linksys E1200";"Device";7.5;2018-05-23
542;"Linksys E2500";"Device";7.5;2018-05-23
543;"Cisco WRVS4400N";"Device";7.5;2018-05-23
544;"MikroTik CCR 1016";"Device";7.5;2018-05-23
545;"MikroTik CCR 1036";"Device";7.5;2018-05-23
546;"MikroTik CCR 1072";"Device";7.5;2018-05-23
547;"Netgear DGN2200";"Device";7.5;2018-05-23
548;"Netgear R6400";"Device";7.5;2018-05-23
549;"Netgear R7000";"Device";7.5;2018-05-23
550;"Netgear R8000";"Device";7.5;2018-05-23
551;"Netgear WNR1000";"Device";7.5;2018-05-23
552;"Netgear WNR2000";"Device";7.5;2018-05-23
553;"QNAP TS251";"Device";7.5;2018-05-23
554;"QNAP TS439 Pro";"Device";7.5;2018-05-23
555;"TP-Link R600VPN";"Device";7.5;2018-05-23
556;"Cisco Talos Intelligence Group";"Organization";5.0;2018-05-23
557;"Snort";"Software";5.0;2018-05-23
558;"CVE-2014-3566";"Software";8.0;2018-05-15
559;"CVE-2015-4000";"Software";8.0;2018-05-15
560;"CVE-2016-0800";"Software";8.0;2018-05-15
561;"CVE-2015-0204";"Software";8.0;2018-05-15
562;"CVE-2017-14491";"Software";8.0;2018-05-15
563;"CVE-2017-0144";"Software";8.0;2018-05-15
564;"CVE-2014-0160";"Software";8.0;2018-05-15
565;"SSL 3.0";"Software";6.0;2018-05-15
566;"OpenSSL";"Software";6.0;2018-05-15
567;"dnsmasq";"Software";6.0;2018-05-15
568;"SMBv1";"Software";6.0;2018-05-15
569;"Apache HTTP Server";"Software";6.0;2018-05-15
570;"nginx";"Software";6.0;2018-05-15
571;"Internet Explorer";"Software";6.0;2018-05-11
572;"Safari";"Software";6.0;2018-05-15
573;"Mozilla";"Software";6.0;2018-05-15
574;"Unify OpenStage Xpert 6010p";"Device";6.5;2018-05-15
575;"DigiCert";"Organization";5.0;2018-05-15
576;"DigiCert Certificate Inspector";"Software";5.0;2018-05-15
577;"Qualys";"Organization";5.0;2018-05-15
578;"Qualys SSL Client Test";"Software";5.0;2018-05-15
579;"Rapid7";"Organization";5.0;2018-05-15
580;"National Institute of Standards and Technology (NIST)";"Government Body";5.0;2018-05-15
581;"needrestart";"Software";5.0;2018-05-15
582;"Habr";"Organization";5.0;2018-05-15
583;"Wikipedia";"Organization";5.0;2018-05-15
584;"HostIQ";"Organization";5.0;2018-05-15
585;"EFAIL";"Software";8.0;2018-05-15
586;"Apple Mail";"Software";6.0;2018-05-15
587;"iOS Mail";"Software";6.0;2018-05-15
588;"PGP";"Software";6.0;2018-05-15
589;"S/MIME";"Software";6.0;2018-05-15
590;"OpenPGP";"Software";6.0;2018-05-15
591;"CVE-2017-17688";"Software";8.0;2018-05-15
592;"CVE-2017-17689";"Software";8.0;2018-05-15
593;"Microsoft Edge";"Software";6.0;2018-05-11
594;"Microsoft Office Services and Web Apps";"Software";6.0;2018-05-11
595;"ChakraCore";"Software";6.0;2018-05-11
596;".NET Framework";"Software";6.0;2018-05-11
597;"Windows Host Compute Service Shim";"Software";6.0;2018-05-11
598;"VBScript";"Software";6.0;2018-05-11
599;"Win32k";"Software";6.0;2018-05-11
600;"CVE-2018-8174";"Software";8.0;2018-05-11
601;"CVE-2018-8120";"Software";8.0;2018-05-11
602;"CVE-2018-0854";"Software";8.0;2018-05-11
603;"CVE-2018-0958";"Software";8.0;2018-05-11
604;"CVE-2018-8124";"Software";8.0;2018-05-11
605;"CVE-2018-8127";"Software";8.0;2018-05-11
606;"CVE-2018-8129";"Software";8.0;2018-05-11
607;"CVE-2018-8132";"Software";8.0;2018-05-11
608;"CVE-2018-8134";"Software";8.0;2018-05-11
609;"CVE-2018-8136";"Software";8.0;2018-05-11
610;"CVE-2018-8141";"Software";8.0;2018-05-11
611;"CVE-2018-8170";"Software";8.0;2018-05-11
612;"CVE-2018-8897";"Software";8.0;2018-05-11
613;"FRwL";"HackerGroup";9.0;2022-11-11
614;"Z-Team";"HackerGroup";9.0;2022-11-11
615;"UAC-0118";"HackerGroup";9.0;2022-11-11
616;"Somnia";"Software";8.0;2022-11-11
617;"Vidar";"Software";8.0;2022-11-11
618;"Cobalt Strike Beacon";"Software";8.0;2022-03-11
619;"Netscan";"Software";8.0;2022-11-11
620;"Rclone";"Software";8.0;2022-11-11
621;"AnyDesk";"Software";8.0;2022-11-11
622;"ngrok";"Software";8.0;2022-02-21
623;"Telegram";"Software";8.0;2022-04-05
624;"Themida";"Software";8.0;2022-03-11
625;"mega.nz";"Domain";8.0;2022-11-11
626;"mastodon.social";"Domain";8.0;2022-11-11
627;"vuxuancuong.com";"Domain";8.0;2022-11-11
628;"advanced-ip-scanner.website";"Domain";8.0;2022-11-11
629;"live.com";"Domain";8.0;2022-07-25
630;"zambeziz.com";"Domain";8.0;2022-11-11
631;"gofile.io";"Domain";8.0;2022-11-11
632;"advanced-ip-scanner.click";"Domain";8.0;2022-11-11
633;"advanced-ip-scanner.site";"Domain";8.0;2022-11-11
634;"dropbox.com";"Domain";8.0;2022-11-11
635;"agrikoz.com";"Domain";8.0;2022-11-11
636;"aluaadin.com";"Domain";8.0;2022-11-11
637;"arminext.com";"Domain";8.0;2022-11-11
638;"benokij.com";"Domain";8.0;2022-11-11
639;"fudupdate.com";"Domain";8.0;2022-11-11
640;"sinergil.com";"Domain";8.0;2022-11-11
641;"softloadup.com";"Domain";8.0;2022-11-11
642;"survefuz.com";"Domain";8.0;2022-11-11
643;"vinergil.com";"Domain";8.0;2022-11-11
644;"zbignef.com";"Domain";8.0;2022-11-11
645;"CVE-2018-7600";"Software";8.0;2018-04-26
646;"CVE-2018-7602";"Software";8.0;2018-04-26
647;"Drupal";"Software";6.0;2018-04-26
648;"Drupal";"Organization";5.0;2018-04-26
649;"Drupal-based websites";"Sector";7.5;2018-04-26
650;"Check Point Research";"Organization";5.0;2018-04-26
651;"chernilis.win";"Domain";8.0;2018-03-22
652;"ADODB.Stream";"Software";8.0;2018-03-22
653;"Ursnif";"Software";8.0;2018-03-22
654;"Gozi";"Software";8.0;2018-03-22
655;"62ea.exe";"Software";8.0;2018-03-22
656;"anketa_21_3_2018 (4).js";"Software";8.0;2018-03-22
657;"documents (5).js";"Software";8.0;2018-03-22
658;"explorer.exe";"Software";6.0;2018-02-15
659;"crsse.exe";"Software";8.0;2018-02-22
660;"Заявка.js";"Software";8.0;2018-02-22
661;"enterwords.ru";"Domain";8.0;2018-02-22
662;"parodadoca.ru";"Domain";8.0;2018-02-22
663;"hopto.org";"Domain";8.0;2018-02-15
664;"fex.net";"Domain";8.0;2018-02-15
665;"mchost.ru";"Domain";8.0;2018-02-15
666;"me.gov.ua";"Domain";8.0;2018-02-15
667;"Schwarze-Sonne-Remote-Access-Trojan";"Software";8.0;2018-02-15
668;"CVE-2017-8759";"Software";8.0;2018-02-15
669;"RegAsm";"Software";8.0;2018-02-15
670;"Mission of Ukraine to NATO";"Government Body";5.0;2018-02-15
671;"NATO";"Organization";5.0;2018-02-15
672;"sserv.jpg";"Software";8.0;2018-11-15
673;"Gazprombank.zakaz.docx.zip";"Software";8.0;2018-11-15
674;"Газпромбанк заказ.js";"Software";8.0;2018-11-15
675;"dishsouq.com";"Domain";8.0;2018-11-15
676;"ansaigon.com";"Domain";8.0;2018-11-15
677;"Joomla";"Software";5.0;2018-11-15
678;"Gazprombank";"Organization";5.0;2018-11-15
679;"GreyEnergy";"Software";8.0;2018-10-22
680;"GreyEnergy mini";"Software";8.0;2018-10-22
681;"Moonraker Petya";"Software";8.0;2018-10-22
682;"Mimikatz";"Software";8.0;2018-10-22
683;"WinExe";"Software";8.0;2018-10-22
684;"pbank.co.ua";"Domain";8.0;2018-10-22
685;"Critical infrastructure in Central and Eastern Europe";"Sector";7.5;2018-10-22
686;"ESET";"Organization";5.0;2018-10-22
687;"XTBL";"Software";8.0;2018-09-14
688;"Trojan.Encoder.858";"Software";8.0;2018-09-14
689;"GandCrab";"Software";8.0;2018-09-14
690;"thestoreroomnsw.com.au";"Domain";8.0;2018-09-14
691;"dstruct.net";"Domain";8.0;2018-09-14
692;"thefoodplace.net";"Domain";8.0;2018-09-14
693;"cryptsen7fo43rr6.onion";"Domain";8.0;2018-09-14
694;"onion.to";"Domain";8.0;2018-09-14
695;"onion.cab";"Domain";8.0;2018-09-14
696;"iol.pt";"Domain";8.0;2018-09-14
697;"arcor.de";"Domain";8.0;2018-09-14
698;"gmail.com";"Domain";8.0;2018-09-14
699;"Fortinet";"Organization";5.0;2018-09-14
700;"QUOTATION N0AB.doc";"Software";8.0;2018-09-18
701;"PO.jpg (EXE)";"Software";8.0;2018-09-18
702;"67.199.248.10";"Domain";8.0;2018-09-18
703;"67.199.248.11";"Domain";8.0;2018-09-18
704;"192.198.87.130";"Domain";8.0;2018-09-18
705;"185.193.38.78";"Domain";8.0;2018-09-18
706;"Microsoft Outlook";"Software";5.0;2018-09-18
707;"FileZilla";"Software";5.0;2018-09-18
708;"WinSCP";"Software";5.0;2018-09-18
709;"hybrid-analysis.com";"Domain";5.0;2018-09-18
710;"Icloud.exe";"Software";8.0;2018-09-03
711;"Iclouding.exe";"Software";8.0;2018-09-03
712;"ipad.system";"Software";8.0;2018-09-03
713;"iclouds.cmd";"Software";8.0;2018-09-03
714;"icloud.cmd";"Software";8.0;2018-09-03
715;"IcloudSecurity.lnk";"Software";8.0;2018-09-03
716;"spisok_24.08.2018.com";"Software";8.0;2018-09-03
717;"НПУ.docx";"Software";8.0;2018-09-03
718;"Лица, которые переместились из АР Крым и районов проведения антитерротистической операции.com";"Software";8.0;2018-09-03
719;"timeout.exe";"Software";8.0;2018-09-03
720;"nazk.gov.ua";"Domain";5.0;2018-08-07
721;"nazk.org.ua";"Domain";8.0;2018-08-07
722;"Government institutions";"Sector";7.5;2018-08-07
723;"Enterprises";"Sector";7.5;2018-08-07
724;"Organizations";"Sector";7.5;2018-08-07
725;"Citizens";"Sector";7.5;2018-08-07
726;"Єдиний державний реєстр декларацій осіб, уповноважених на виконання функцій держави або місцевого самоврядування";"Infrastructure";8.5;2018-08-07
727;"badpdf.com";"Domain";8.0;2020-08-07
728;"chinagrill.co";"Domain";8.0;2020-08-07
729;"vaultcli.dll";"Software";8.0;2020-08-07
730;"dyndns.com";"Domain";5.0;2020-08-07
731;"winscp.net";"Domain";5.0;2020-08-07
732;"cert.ee";"Domain";5.0;2020-08-07
733;"any.run";"Domain";5.0;2020-08-07
734;"intezer.com";"Domain";5.0;2020-08-07
735;"Comodo IceDragon";"Software";6.0;2020-08-07
736;"Yandex Browser";"Software";6.0;2020-08-07
737;"Iridium Browser";"Software";6.0;2020-08-07
738;"Epic Privacy Browser";"Software";6.0;2020-08-07
739;"Chromium";"Software";6.0;2020-08-07
740;"7Star Browser";"Software";6.0;2020-08-07
741;"Torch Browser";"Software";6.0;2020-08-07
742;"ChromePlus";"Software";6.0;2020-08-07
743;"Kometa Browser";"Software";6.0;2020-08-07
744;"Amigo Browser";"Software";6.0;2020-08-07
745;"Brave";"Software";6.0;2020-08-07
746;"CentBrowser";"Software";6.0;2020-08-07
747;"Liebao Browser";"Software";6.0;2020-08-07
748;"Elements Browser";"Software";6.0;2020-08-07
749;"Vivaldi";"Software";6.0;2020-08-07
750;"Citrio";"Software";6.0;2020-08-07
751;"360 Chrome";"Software";6.0;2020-08-07
752;"Uran Browser";"Software";6.0;2020-08-07
753;"Chedot";"Software";6.0;2020-08-07
754;"Orbitum";"Software";6.0;2020-08-07
755;"Sputnik Browser";"Software";6.0;2020-08-07
756;"Comodo Dragon";"Software";6.0;2020-08-07
757;"CocCoc Browser";"Software";6.0;2020-08-07
758;"QIP Surf";"Software";6.0;2020-08-07
759;"Coowon Browser";"Software";6.0;2020-08-07
760;"Opera";"Software";6.0;2020-08-07
761;"Claws Mail";"Software";6.0;2020-08-07
762;"Postbox";"Software";6.0;2020-08-07
763;"Foxmail";"Software";6.0;2020-08-07
764;"Opera Mail";"Software";6.0;2020-08-07
765;"PocoMail";"Software";6.0;2020-08-07
766;"Becky! Internet Mail";"Software";6.0;2020-08-07
767;"OpenVPN";"Software";6.0;2020-08-07
768;"Paltalk";"Software";6.0;2020-08-07
769;"JDownloader";"Software";6.0;2020-08-07
770;"SmartFTP";"Software";6.0;2020-08-07
771;"FTP Commander";"Software";6.0;2020-08-07
772;"WS_FTP";"Software";6.0;2020-08-07
773;"FTPGetter";"Software";6.0;2020-08-07
774;"Trillian";"Software";6.0;2020-08-07
775;"UAC-0140";"HackerGroup";9.0;2022-12-08
776;"DolphinCape";"Software";8.0;2022-12-08
777;"CodeMeter";"Software";8.0;2022-12-08
778;"SearchEmbdIndex.ps1";"Software";8.0;2022-12-08
779;"shahed-136.rar";"Software";8.0;2022-12-08
780;"shahed.ppsx";"Software";8.0;2022-12-08
781;"BITS";"Software";8.0;2022-12-08
782;"RC4";"Software";8.0;2022-12-08
783;"Indy";"Software";8.0;2022-12-08
784;"dsns.com.ua";"Domain";8.0;2022-12-08
785;"Укрзалізниця";"Organization";5.0;2022-12-08
786;"Державна служба України з надзвичайних ситуацій";"Government Body";9.0;2022-12-08
787;"Трігубенко Сергій Георгійович";"Individual";5.0;2022-12-08
788;"UAC-0142";"HackerGroup";9.0;2022-12-18
789;"FateGrab";"Software";8.0;2022-12-18
790;"StealDeal";"Software";8.0;2022-12-18
791;"VMProtect";"Software";8.0;2022-12-18
792;"delta-storages.com";"Domain";8.0;2022-12-18
793;"hexactor.com";"Domain";8.0;2022-12-18
794;"Ukrainian defense sector";"Sector";7.5;2022-12-18
795;"UAC-0132";"HackerGroup";5.0;2022-12-18
796;"Центр інновацій та розвитку оборонних технологій Міністерства оборони України";"Government Body";5.0;2022-12-18
797;"ISTAR ОУВ ""Запоріжжя""";"Government Body";5.0;2022-12-18
798;"DELTA";"Software";5.0;2022-12-18
799;"Great C Technologies Inc";"Organization";5.0;2022-12-18
800;"UAC-0098";"HackerGroup";9.0;2022-04-14
801;"regsvr32";"Software";8.0;2022-06-20
802;"PowerShell Invoke-WebRequest";"Software";8.0;2022-06-20
803;"baidenfree.com";"Domain";8.0;2022-06-20
804;"golgba.com";"Domain";8.0;2022-06-20
805;"domtern.com";"Domain";8.0;2022-06-20
806;"jorgava.com";"Domain";8.0;2022-06-20
807;"Державна податкова служба України";"Government Body";5.0;2022-06-20
808;"APT28";"HackerGroup";9.0;2022-03-16
809;"CredoMap";"Software";8.0;2022-05-06
810;"Nuclear Terrorism A Very Real Threat.rtf";"Software";8.0;2022-06-20
811;"SQLite";"Software";8.0;2022-05-06
812;"frge.io";"Domain";8.0;2022-03-16
813;"kompartpomiar.pl";"Domain";8.0;2022-06-20
814;"Ukrainian telecommunications operators and providers";"Sector";5.0;2022-02-17
815;"CSIRT-NBU";"Government Body";5.0;2022-02-18
816;"Mirai";"Software";8.0;2022-02-18
817;"Meris";"Software";8.0;2022-02-18
818;"MikroTik devices";"Device";7.5;2022-02-18
819;"Shodan";"Organization";5.0;2022-02-18
820;"MISP";"Software";5.0;2020-12-28
821;"360 Netlab";"Organization";5.0;2022-02-18
822;"Cisco Crosswork";"Software";5.0;2022-02-18
823;"Web resources of Ukrainian banks";"Sector";7.5;2022-02-18
824;"Web resources of Ukrainian government bodies";"Sector";7.5;2022-02-18
825;"Financial institutions of Ukraine";"Sector";7.5;2022-02-18
826;"State financial institutions of Ukraine";"Sector";7.5;2022-02-18
827;"DNS-сервери для зони gov.ua";"Infrastructure";8.5;2022-02-18
828;"inq. Nigeria (AS16284)";"Organization";8.0;2022-02-18
829;"PrivatBank (AS15742)";"Organization";8.0;2022-02-18
830;"AS37148";"Organization";5.0;2022-02-18
831;"CyberArmyofRussia_Reborn";"Organization";5.0;2023-01-27
832;"Ukrinform";"Organization";8.0;2023-01-27
833;"UAC-0082";"HackerGroup";9.0;2023-01-27
834;"Main Directorate of the General Staff of the Armed Forces of the Russian Federation (GRU)";"Government Body";9.5;2023-01-27
835;"CaddyWiper";"Software";8.0;2022-04-12
836;"ZeroWipe";"Software";8.0;2023-01-27
837;"SDelete";"Software";8.0;2023-01-27
838;"AwfulShred";"Software";8.0;2022-04-12
839;"BidSwipe";"Software";8.0;2023-01-27
840;"news.bat";"Software";8.0;2023-01-27
841;"certutil";"Software";8.0;2023-01-27
842;"dnscmd";"Software";8.0;2023-01-27
843;"icacls";"Software";8.0;2023-01-27
844;"takeown";"Software";8.0;2023-01-27
845;"shutdown";"Software";8.0;2023-01-27
846;"hostname";"Software";8.0;2023-01-27
847;"Windows_Security_Update_HxW";"Software";8.0;2023-01-27
848;"Windows_Security_Update_gMj";"Software";8.0;2023-01-27
849;"Windows_Security_Update_xBQ";"Software";8.0;2023-01-27
850;"RaidForums";"Organization";5.0;2022-02-21
851;"raidforums.com";"Domain";5.0;2022-02-21
852;"Public sector";"Sector";7.5;2022-02-21
853;"Banking sector";"Sector";7.5;2022-02-21
854;"Defense sector";"Sector";7.5;2022-02-21
855;".ua domain web resources";"Sector";7.5;2022-02-21
856;"Buhtrap";"HackerGroup";9.0;2022-02-21
857;"LightRope";"Software";8.0;2022-02-21
858;"LiteManager";"Software";8.0;2022-02-21
859;"dnscat";"Software";8.0;2022-02-21
860;"SourSnack";"Software";8.0;2022-02-21
861;"NTDSDumpEx";"Software";8.0;2022-02-21
862;"RDP Wrapper";"Software";8.0;2022-02-21
863;"nais-gov.org";"Domain";8.0;2022-02-21
864;"forum-pokemon.com";"Domain";8.0;2022-02-21
865;"ns2-dns.com";"Domain";8.0;2022-02-21
866;"ns3-dns.com";"Domain";8.0;2022-02-21
867;"wpc-v0cdn.org";"Domain";8.0;2022-02-21
868;"ipv6-wpnc.net";"Domain";8.0;2022-02-21
869;"alt-2cdn.net";"Domain";8.0;2022-02-21
870;"lais-gov.com";"Domain";8.0;2022-02-21
871;"Financial organizations of Russia";"Sector";7.5;2022-02-21
872;"Government bodies and enterprises of Ukraine";"Sector";7.5;2022-02-21
873;"Mikael LLC";"Organization";5.0;2022-02-21
874;"George Alan Developments Incorporated";"Organization";5.0;2022-02-21
875;"LiteManagerTeam";"Organization";5.0;2022-02-21
876;"Zabbix";"Software";6.0;2022-02-22
877;"CVE-2022-23131";"Software";8.0;2022-02-22
878;"CVE-2022-23134";"Software";8.0;2022-02-22
879;"PortSwigger";"Organization";5.0;2022-02-22
880;"SonarSource";"Organization";5.0;2022-02-22
881;"Royal Road";"Software";8.0;2022-06-22
882;"Bisonal";"Software";8.0;2022-06-22
883;"QuickMute";"Software";8.0;2022-06-22
884;"Tonto Team";"HackerGroup";9.0;2022-06-22
885;"UAC-0018";"HackerGroup";9.0;2022-06-22
886;"lingrevelat.com";"Domain";8.0;2022-06-22
887;"Russian scientific and technical sector";"Sector";7.5;2022-06-22
888;"Russian aviation sector";"Sector";7.5;2022-06-22
889;"Russian government bodies";"Sector";7.5;2022-06-22
890;"Winter Vivern";"HackerGroup";9.0;2023-02-01
891;"APERETIF";"Software";8.0;2023-02-01
892;"Protector.bat";"Software";8.0;2023-02-01
893;"bugiplaysec.com";"Domain";8.0;2023-02-01
894;"troadsecow.com";"Domain";8.0;2023-02-01
895;"ocspdep.com";"Domain";8.0;2023-02-01
896;"Поліція Польщі";"Government Body";9.0;2023-02-01
897;"Міністерство оборони України";"Government Body";9.0;2022-03-17
898;"CERT Polska";"Organization";5.0;2023-02-01
899;"CSIRT MON";"Government Body";5.0;2023-02-01
900;"Poland";"Country";8.0;2023-02-01
901;"UNC1151";"HackerGroup";9.0;2022-03-07
902;"MicroBackdoor";"Software";8.0;2022-03-07
903;"core.dll";"Software";8.0;2022-03-07
904;"ignit.vbs";"Software";8.0;2022-03-07
905;"dovidka.chm";"Software";8.0;2022-03-07
906;"file.htm";"Software";8.0;2022-03-07
907;"Windows Prefetch.lNk";"Software";8.0;2022-03-07
908;"desktop.ini";"Software";8.0;2022-03-07
909;"довідка.zip";"Software";8.0;2022-03-07
910;"xbeta.online";"Domain";8.0;2022-03-07
911;"Dmytro Oleksiuk";"Individual";5.0;2022-03-07
912;"UAC-0041";"HackerGroup";9.0;2022-03-09
913;"FormBook";"Software";8.0;2022-03-09
914;"vbc.exe";"Software";8.0;2022-03-09
915;"gobits3.com";"Domain";8.0;2022-03-09
916;"posish.club";"Domain";8.0;2022-03-09
917;"forkscenter.fr";"Domain";8.0;2022-03-11
918;"nirsoft.me";"Domain";8.0;2022-03-11
919;"BitdefenderWindowsUpdatePackage.exe";"Software";8.0;2022-03-11
920;"alt.exe";"Software";8.0;2022-03-11
921;"one.exe";"Software";8.0;2022-03-11
922;"dropper.exe";"Software";8.0;2022-03-11
923;"wisw.exe";"Software";8.0;2022-03-11
924;"java-sdk.exe";"Software";8.0;2022-03-11
925;"microsoft-cortana.exe";"Software";8.0;2022-03-11
926;"oracle-java.exe";"Software";8.0;2022-03-11
927;"GraphSteel";"Software";8.0;2022-03-11
928;"GrimPlant";"Software";8.0;2022-03-11
929;"UKR.NET";"Organization";8.0;2022-03-16
930;"Pipedream";"Organization";5.0;2022-03-16
931;"pipedream.net";"Domain";8.0;2022-03-16
932;"tinyurl.com";"Domain";5.0;2022-03-16
933;"Vermin";"HackerGroup";9.0;2022-03-17
934;"Luhansk People's Republic";"Country";10.0;2022-03-17
935;"SPECTR";"Software";8.0;2022-03-17
936;"getmod.host";"Domain";8.0;2022-03-17
937;"syncapp.host";"Domain";8.0;2022-03-17
938;"netbin.host";"Domain";8.0;2022-03-17
939;"stormpredictor.host";"Domain";8.0;2022-03-17
940;"meteolink.host";"Domain";8.0;2022-03-17
941;"vServerCo";"Organization";5.0;2022-03-17
942;"InvisiMole";"HackerGroup";9.0;2022-03-18
943;"LoadEdge";"Software";8.0;2022-03-18
944;"TunnelMole";"Software";8.0;2022-03-18
945;"RC2CL";"Software";8.0;2022-03-18
946;"We4Qu6.hta";"Software";8.0;2022-03-18
947;"501_25_103.lnk";"Software";8.0;2022-03-18
948;"501_25_103.zip";"Software";8.0;2022-03-18
949;"EdgeNotification.dll";"Software";8.0;2022-03-18
950;"UAC-0050";"HackerGroup";9.0;2023-02-06
951;"Remcos";"Software";8.0;2023-02-06
952;"telecomds.online";"Domain";8.0;2023-02-06
953;"Укртелеком";"Organization";5.0;2023-02-06
954;"BreakingSecurity";"Organization";5.0;2023-02-06
955;"UAC-0088";"HackerGroup";9.0;2022-03-22
956;"DoubleZero";"Software";8.0;2022-03-22
957;"Вирус... крайне опасно!!!.zip";"Software";8.0;2022-03-22
958;"csrss.zip";"Software";8.0;2022-03-22
959;"Information systems of Ukrainian enterprises";"Sector";7.5;2022-03-22
960;"UAC-0026";"HackerGroup";9.0;2022-03-22
961;"HeaderTip";"Software";8.0;2022-03-22
962;"httpshelper.dll";"Software";8.0;2022-03-22
963;"officecleaner.bat";"Software";8.0;2022-03-22
964;"Про збереження відеоматеріалів з фіксацією злочинних дій армії російської федерації.exe";"Software";8.0;2022-03-22
965;"mrbasic.com";"Domain";8.0;2022-03-22
966;"dhdhk0k34.com";"Software";8.0;2022-03-23
967;"inject.exe";"Software";8.0;2022-03-23
968;"Skype";"Software";8.0;2022-03-23
969;"Thumbs.db";"Software";8.0;2022-03-23
970;"Диверсанти.rar";"Software";8.0;2022-03-23
971;"Диверсанти 21.03.rar";"Software";8.0;2022-03-23
972;"Диверсанти filercs.rar";"Software";8.0;2022-03-23
973;"Диверсанти file‮‮rar.scr";"Software";8.0;2022-03-23
974;"hmgo.pw";"Domain";8.0;2022-03-23
975;"GoDownloader";"Software";8.0;2022-03-28
976;"Base-Update.exe";"Software";8.0;2022-03-28
977;"MarsStealer";"Software";8.0;2022-03-30
978;"google.com";"Domain";8.0;2022-03-30
979;"dev-com.sc";"Domain";8.0;2022-03-30
980;"Raccoon Stealer";"Software";5.0;2022-03-30
981;"KB5017371.exe";"Software";8.0;2023-02-13
982;"Апарат Ради національної безпеки і оборони України";"Government Body";5.0;2023-02-13
983;"rnbo.gov.ua";"Domain";5.0;2023-02-13
984;"Assistance.rar";"Software";8.0;2022-04-04
985;"Necessary_military_assistance.rar";"Software";8.0;2022-04-04
986;"Providing military humanitarian assistance to Ukraine.lnk";"Software";8.0;2022-04-04
987;"List of necessary things for the provision of military humanitarian assistance to Ukraine.lnk";"Software";8.0;2022-04-04
988;"military-ukraine.site";"Domain";8.0;2022-04-04
989;"military-ukraine.online";"Domain";8.0;2022-04-04
990;"tmweb.ru";"Domain";8.0;2022-04-04
991;"Government bodies of European Union member states";"Sector";7.5;2022-04-04
992;"Latvia";"Country";8.0;2022-04-04
993;"jokotras.ru";"Domain";8.0;2022-04-04
994;"tiloraso.ru";"Domain";8.0;2022-04-04
995;"milotrad.ru";"Domain";8.0;2022-04-04
996;"potrakit.ru";"Domain";8.0;2022-04-04
997;"UAC-0094";"HackerGroup";9.0;2022-04-05
998;"ohsxy.com";"Domain";8.0;2022-04-05
999;"telsec.org";"Domain";8.0;2022-04-05
1000;"courtgova.online";"Domain";8.0;2023-02-21
1001;"courtgova.site";"Domain";8.0;2023-02-21
1002;"courtbox.online";"Domain";8.0;2023-02-21
1003;"ertelecom.ru";"Domain";8.0;2023-02-21
1004;"Печерський районний суд міста Києва";"Government Body";5.0;2023-02-21
