Id;Label;EntityType;RiskScore
780;LOGPIE;Tool;7.0
781;CHERRYSPY;Tool;7.0
782;PyArmor;Tool;7.0
783;Diagsvc;Tool;7.0
784;cscript;Tool;7.0
785;WinTime;Tool;7.0
786;slmgr;Tool;7.0
787;pytransform;Tool;7.0
788;help;Tool;7.0
789;driver;Tool;7.0
790;Mongolia;Country;10.0
791;Kazakhstan;Country;10.0
792;Kyrgyzstan;Country;10.0
793;Israel;Country;10.0
794;Bulgaria;Country;10.0
795;Singapore;Country;10.0
796;Ukrainian State Institution;Organization;8.0
797;Embassy of Tajikistan in Ukraine;Organization;9.0
798;diagnostic-resolver.com;Domain;8.0
799;ms-webdav-miniredir.com;Domain;8.0
800;blnwx.com;Domain;8.0
801;vpsag.com;Domain;8.0
802;4vendeta.com;Domain;8.0
803;cherryservers.com;Domain;8.0
804;namecheap.com;Domain;8.0
805;net-certificate.services;Domain;8.0
806;Information and Communication System (IKS);Target;8.0
807;Roundcube;Tool;7.0
808;Ukrainian State Organization;Organization;8.0
809;Recorded Future;Organization;6.0
810;meta.ua;Domain;8.0
811;global-world-news.net;Domain;8.0
812;global-news-world.com;Domain;8.0
813;aneria.net;Domain;8.0
814;armpress.net;Domain;8.0
815;ceriossl.info;Domain;8.0
816;fountainrate.com;Domain;8.0
817;lonejade.com;Domain;8.0
818;modeselling.com;Domain;8.0
819;oncetrips.com;Domain;8.0
820;vtxhospital.com;Domain;8.0
821;ns1.fountainrate.com;Domain;8.0
822;ns2.fountainrate.com;Domain;8.0
823;ns1.lonejade.com;Domain;8.0
824;ns1.modeselling.com;Domain;8.0
825;ns2.modeselling.com;Domain;8.0
826;ns1.oncetrips.com;Domain;8.0
827;ns2.oncetrips.com;Domain;8.0
828;ns1.vtxhospital.com;Domain;8.0
829;ns2.vtxhospital.com;Domain;8.0
830;World Congress of Ukrainians;Target;8.0
831;CHM file;Tool;7.0
832;Microsoft HTML Help;Tool;7.0
833;MAGICSPELL loader;Tool;7.0
834;EXE;Tool;7.0
835;DLL;Tool;7.0
836;CPL;Tool;7.0
837;PS1;Tool;7.0
838;Lithuania;Country;5.0
839;World Congress of Ukrainians;Organization;8.0
840;NATO;Organization;6.0
841;NATO Summit;Organization;6.0
842;ukrainianworldcongress.org;Domain;7.0
843;ukrainianworldcongress.info;Domain;8.0
844;finformservice.com;Domain;4.0
845;PicassoLoader;Tool;7.0
846;njRAT;Tool;7.0
847;Rundll32;Tool;7.0
848;gk40jklkgt3w094gh;Tool;7.0
849;sgsdgkjsgkljsegseuigh38g;Tool;7.0
850;Mandiant;Organization;6.0
851;Avast;Organization;8.0
852;FireEye;Organization;8.0
853;carpetmarker.pw;Domain;8.0
854;everything-everywhere.at.ply.gg;Domain;8.0
855;Embassy of Islamic Republic of Iran in Tiran;Target;8.0
856;EdgeOS;Tool;7.0
857;HTTP POST;Tool;7.0
858;Forge;Tool;7.0
859;Albania;Country;8.0
860;Embassy of the Islamic Republic of Iran in Tirana;Organization;8.0
861;Ubiquiti;Organization;9.0
862;robot-876.frge.io;Domain;8.0
863;mail-gov-ua.frge.io;Domain;8.0
864;ukr.net.frge.io;Domain;8.0
865;setnewcreds.ukr.net.frge.io;Domain;8.0
866;setnewcred.ukr.net.frge.io;Domain;8.0
867;net.frge.io;Domain;8.0
868;frge.io;Domain;8.0
869;eos93vb2cwsu3xf.m.pipedream.net;Domain;8.0
870;eopkne8kapj01xi.m.pipedream.net;Domain;8.0
871;Firefox Default Browser Agent;Tool;7.0
872;IQHost;Organization;9.0
873;Ruvds;Organization;9.0
874;DNSpod;Organization;9.0
875;alegoomaster.com;Domain;8.0
876;azartnyjboy.com;Domain;8.0
877;droopily.eu;Domain;8.0
878;filterfullproperty.ru;Domain;8.0
879;freesitucionap.com;Domain;8.0
880;gondurasonline.ug;Domain;8.0
881;hopentools.site;Domain;8.0
882;infomalilopera.ru;Domain;8.0
883;jkghdj2993jdjjdjd.ru;Domain;8.0
884;jskgdhjkdfhjdkjhd844.ru;Domain;8.0
885;kismamabeforyougo.com;Domain;8.0
886;kissmafiabeforyoudied.eu;Domain;8.0
887;kjhgdj99fuller.ru;Domain;8.0
888;nabufixservice.name;Domain;8.0
889;prostotaknet.net;Domain;8.0
890;verycheap.store;Domain;8.0
891;zaikaopentra-com-ug.online;Domain;8.0
892;zaikaopentra.com.ug;Domain;8.0
893;zakolibal.online;Domain;8.0
894;zalamafiapopcultur.eu;Domain;8.0
895;liverpulapp.ru;Domain;8.0
896;samoramertut.ru;Domain;8.0
897;cityofuganda.ug;Domain;8.0
898;goodlenuxilam.site;Domain;8.0
899;hillespostelnm.eu;Domain;8.0
900;internetcygane.ru;Domain;8.0
901;jimloamfilling.online;Domain;8.0
902;jslopasitmon.com;Domain;8.0
903;kilomunara.com;Domain;8.0
904;krasavchikoleg.net;Domain;8.0
905;maxteroper.ru;Domain;8.0
906;nafillimonilini.net;Domain;8.0
907;napropertyhub.eu;Domain;8.0
908;polinamailserverip.ru;Domain;8.0
909;sismasterhome.ru;Domain;8.0
910;supermarioprohozhdenie.ru;Domain;8.0
911;vertusupportjk.org;Domain;8.0
912;zaikadoctor.ru;Domain;8.0
913;zallesman.ru;Domain;8.0
914;zarabovannyok.eu;Domain;8.0
915;BlackNotary;Hacker Group;9.0
916;Judiciary of Ukraine;Target;8.0
917;Notary of Ukraine;Target;8.0
918;BAT;Tool;7.0
919;CMD;Tool;7.0
920;ScrubCrypt;Tool;7.0
921;AsyncRAT;Tool;7.0
922;riuscos88;Individual;5.0
923;amandarecz75;Individual;5.0
924;barno2715;Individual;5.0
925;minijusfil.com;Domain;8.0
926;filetransrediremin.com;Domain;8.0
927;barnsertr.com;Domain;8.0
928;Judiciary and Notary of Ukraine;Target;8.0
929;Department of Notaries, Dnipropetrovsk;Target;8.0
930;BAT/CMD;Tool;7.0
931;Switzerland;Country;10.0
932;Ukrainian Judiciary and Notary Organization;Organization;8.0
933;Department of Notaries in Dnipropetrovsk;Organization;8.0
934;privatelayer.com;Domain;8.0
935;WinRAR;Tool;7.0
936;Turkey;Country;10.0
937;publicdomainregistry.com;Organization;6.0
938;Stark Industries Solutions Ltd;Organization;9.0
939;profitserver.ru;Organization;9.0
940;topibuzz.space;Domain;8.0
941;windacarmelita.pw;Domain;8.0
942;ЕОМ бухгалтерів;Target;8.0
943;Belarus;Country;10.0
944;Iran;Country;10.0
945;ООО "Трейдер софт";Organization;9.0
946;Чекель Н.В.;Individual;8.5
947;diplombar.by;Domain;8.0
948;dublebomber.ru;Domain;8.0
949;iloveua.ir;Domain;8.0
950;ipoluchayteudovolstvie.ru;Domain;8.0
951;kozachok777.ru;Domain;8.0
952;moyabelorussiya.by;Domain;8.0
953;nomnetozhedenyuzhkanuzhna.ru;Domain;8.0
954;popuasyfromua.ru;Domain;8.0
955;propertyiran.ir;Domain;8.0
956;propertyminsk.by;Domain;8.0
957;prostosmeritesya.ru;Domain;8.0
958;restmantra.by;Domain;8.0
959;sakentoshi.ru;Domain;8.0
960;specnaznachenie.ru;Domain;8.0
961;super777bomba.ru;Domain;8.0
962;tvoyaradostetoya.ru;Domain;8.0
963;yavasponimayu.ru;Domain;8.0
964;zakrylki809.ru;Domain;8.0
965;zasadacafe.by;Domain;8.0
966;simplecloud.ru;Domain;8.0
967;Білорусь;Country;10.0
968;Іран;Country;10.0
969;Specialized Prosecution;Target;8.0
970;Defense Sector;Target;8.0
971;Microsoft Office Excel;Tool;7.0
972;write;Tool;7.0
973;Specialized Prosecutor's Office;Organization;8.0
974;Ukrainian Defense Sector;Organization;8.0
975;skreatortemp.site;Domain;8.0
976;JokerDPR;Hacker Group;9.0
977;Google;Target;8.0
978;Ukr.Net;Target;8.0
979;Outlook;Target;8.0
980;EXMO;Target;8.0
981;Binance;Target;8.0
982;Finland;Country;10.0
983;Outlook;Organization;8.0
984;EXMO;Organization;8.0
985;Binance;Organization;8.0
986;Tucows;Organization;9.0
987;Namecheap;Organization;9.0
988;authssl.in;Domain;8.0
989;authssl.link;Domain;8.0
990;authssl.online;Domain;8.0
991;authssl.org;Domain;8.0
992;authssl.site;Domain;8.0
993;ssl1.online;Domain;8.0
994;ssl1.site;Domain;8.0
995;ssl2.in;Domain;8.0
996;ssl2.link;Domain;8.0
997;ssl2.online;Domain;8.0
998;ssl2.site;Domain;8.0
999;ssl3.online;Domain;8.0
1000;ssl3.site;Domain;8.0
1001;ssl4.online;Domain;8.0
1002;ssl4.site;Domain;8.0
1003;exmo.day;Domain;8.0
1004;getssl.click;Domain;8.0
1005;getssl.ink;Domain;8.0
1006;goaccount.link;Domain;8.0
1007;passport2.zip;Domain;8.0
1008;personlog.in;Domain;8.0
1009;certifiedauth.in;Domain;8.0
1010;hsts.online;Domain;8.0
1011;connectssl.in;Domain;8.0
1012;account.certifiedauth.in;Domain;8.0
1013;account.coinbase.exmo.day;Domain;8.0
1014;account.google.com.getssl.ink;Domain;8.0
1015;account.live.com.exmo.day;Domain;8.0
1016;account.live.com.getssl.click;Domain;8.0
1017;account.outlook.live.com.exmo.day;Domain;8.0
1018;accounts.binance.com.exmo.day;Domain;8.0
1019;accounts.binance.com.personlog.in;Domain;8.0
1020;accounts.certifiedauth.in;Domain;8.0
1021;accounts.google.com.getssl.click;Domain;8.0
1022;Kyivstar;Target;8.0
1023;SBU;Target;8.0
1024;ZIP;Tool;7.0
1025;BATCH;Tool;7.0
1026;bitbucket;Tool;7.0
1027;REMCOS RAT;Tool;7.0
1028;SmartAssembly;Tool;7.0
1029;test2;Tool;7.0
1030;wsuscr;Tool;7.0
1031;GB;Tool;7.0
1032;Запит;Tool;7.0
1033;reg;Tool;7.0
1034;explorer;Tool;7.0
1035;Malaysia;Country;10.0
1036;Kyivstar;Organization;8.0
1037;Shinjiru;Organization;9.0
1038;Bitbucket;Organization;6.0
1039;bitbucket.org;Domain;4.0
1040;Ukrainian State Organizations;Target;8.0
1041;Polish Organizations;Target;8.0
1042;MASEPIE;Tool;7.0
1043;OCEANMAP;Tool;7.0
1044;STEELHOOK;Tool;7.0
1045;OpenSSH;Tool;7.0
1046;SMBEXEC;Tool;7.0
1047;Client;Tool;7.0
1048;Польща;Country;8.0
1049;czyrqdnvpujmmjkfhhvs4knf1av02demj.oast.fun;Domain;8.0
1050;czyrqdnvpujmmjkfhhvsclx05sfi23bfr.oast.fun;Domain;8.0
1051;czyrqdnvpujmmjkfhhvsgapqr3hclnhhj.oast.fun;Domain;8.0
1052;czyrqdnvpujmmjkfhhvsvlaax17vd5r6v.oast.fun;Domain;8.0
1053;nas-files.firstcloudit.com;Domain;8.0
1054;ua-calendar.firstcloudit.com;Domain;8.0
1055;e-nas.firstcloudit.com;Domain;8.0
1056;webmail.facadesolutionsuae.com;Domain;8.0
1057;facadesolutionsuae.com;Domain;8.0
1058;Ukrainian Armed Forces;Target;8.0
1059;3rd Separate Assault Brigade;Target;8.0
1060;REVERSE SSH;Tool;7.0
1061;uacybershieldx;Tool;7.0
1062;word_update;Tool;7.0
1063;drvsysx86;Tool;7.0
1064;remcos;Tool;7.0
1065;Ізраїль;Country;5.0
1066;Israel Defense Forces (IDF);Organization;6.0
1067;funedunet.com;Domain;8.0
1068;new-tech-savvy.com;Domain;8.0
1069;grabify.link;Domain;8.0
1070;iplogger.com;Domain;8.0
1071;Medok;Target;8.0
1072;AutoIt;Tool;7.0
1073;QuasarRAT;Tool;7.0
1074;Remote Utilities;Tool;7.0
1075;Google Drive;Tool;7.0
1076;Medok;Organization;8.0
1077;DesignPixel Innovations;Organization;9.0
1078;rmssrv.ru;Domain;8.0
1079;UAC-0050;Hacker Group;9.0
1080;Ukrainian Civil Defense;Target;8.0
1081;CCleaner;Tool;7.0
1082;RemoteUtilities;Tool;7.0
1083;Poland;Country;10.0
1084;United Kingdom;Country;10.0
1085;Indonesia;Country;10.0
1086;remala.id;Domain;8.0
1087;nlightusa.com;Domain;8.0
1088;miecznet.com.pl;Domain;8.0
1089;settusfree.org.uk;Domain;8.0
1090;grafix.ne.jp;Domain;8.0
1091;dsns.gov.ua;Domain;7.0
1092;8161.uk;Domain;8.0
1093;Turla;Hacker Group;9.0
1094;DaVinci Group;Hacker Group;9.0
1095;Ukrainian Government and Energy Sector Organizations;Target;8.0
1096;KAZUAR;Tool;7.0
1097;VENOM RAT;Tool;7.0
1098;LUMMASTEALER;Tool;7.0
1099;VPN;Tool;7.0
1100;Ukrainian government and energy sector organizations;Organization;8.0
1101;Ukrainian Government Organization;Target;8.0
1102;Ukrainian Energy Sector Organization;Target;8.0
1103;Ukrainian Financial Sector Organization;Target;8.0
1104;Ukrainian Healthcare Organization;Target;8.0
1105;Ukrainian IT Organization;Target;8.0
1106;Financial sector of Ukraine;Organization;8.0
1107;Healthcare sector of Ukraine;Organization;8.0
1108;IT sector of Ukraine;Organization;8.0
1109;UAC-0028;Organization;9.0
1110;UAC-0003;Organization;9.0
1111;UAC-0050;Organization;9.0
1112;DaVinci Group;Organization;9.0
1113;SRP;Tool;7.0
1114;AppLocker;Tool;7.0
1115;Yara;Tool;7.0
1116;SIEM;Tool;7.0
1117;Mikrotik/pfSense;Tool;7.0
1118;UAC-0010;Tool;7.0
1119;pfSense;Tool;7.0
1120;TALESHOT;Tool;7.0
1121;RMS;Tool;7.0
1122;WmiPrvSE;Tool;7.0
1123;xmrig;Tool;7.0
1124;smoke;Tool;7.0
1125;agentsuperpupervinil.ru;Domain;8.0
1126;ccbaminumpot.ru;Domain;8.0
1127;picwalldoor.ru;Domain;8.0
1128;sephoraofficetz.ru;Domain;8.0
1129;vikompalion.ru;Domain;8.0
1130;vivianstyler.ru;Domain;8.0
1131;monopoliafromyou.ru;Domain;8.0
1132;rafraystore.ru;Domain;8.0
1133;xmr.2miners.com;Domain;8.0
1134;Ukrainian Organizations;Target;8.0
1135;SuperOps RMM;Tool;7.0
1136;PyInstaller;Tool;7.0
1137;Minesweeper;Tool;7.0
1138;Europe;Country;5.0
1139;USA;Country;5.0
1140;CSIRT National Bank of Ukraine;Organization;6.0
1141;Lexical Analysis Software Ltd;Organization;6.0
1142;Bank of America;Organization;6.0
1143;Chase Online;Organization;6.0
1144;superops.com;Domain;8.0
1145;superops.ai;Domain;8.0
1146;patient-docs-mail.com;Domain;8.0
1147;protonmail.com;Domain;8.0
1148;anotepad.com;Domain;8.0
1149;yemmyusa.com;Domain;8.0
1150;Government Officials;Target;8.0
1151;Military Personnel;Target;8.0
1152;Defense Enterprise Representatives;Target;8.0
1153;Signal;Tool;7.0
1154;Ukrainian State Services;Organization;8.0
1155;Ukrainian Defense Enterprises;Organization;8.0
1156;188.245.50.32;Domain;8.0
1157;Ukrainian State Officials;Target;8.0
1158;Ukrainian Military Personnel;Target;8.0
1159;Defense Enterprises in Ukraine;Target;8.0
1160;Vermin;Hacker Group;9.0
1161;Ukrainian Defense Forces;Target;8.0
1162;SPECTR;Tool;7.0
1163;SyncThing;Tool;7.0
1164;Cybersecurity Center of the Armed Forces of Ukraine;Organization;8.0
1165;post.mil.gov.ua;Domain;7.0
1166;syncthing.net;Domain;8.0
1167;crash.syncthing.net;Domain;8.0
1168;data.syncthing.net;Domain;8.0
1169;upgrades.syncthing.net;Domain;8.0
1170;FIRMACHAGENT;Tool;7.0
1171;IDCLIPNET_x86;Tool;7.0
1172;chrome_updater;Tool;7.0
1173;Prozorro;Organization;9.0
1174;Ukraero;Organization;9.0
1175;Beget;Organization;6.0
1176;prozorro.online;Domain;8.0
1177;ukraero.space;Domain;8.0
1178;beget.com;Domain;4.0
1179;171.22.120.50;Domain;8.0
1180;91.225.219.185;Domain;8.0
1181;GRISELDA Mobile Application;Target;8.0
1182;Eyes Tracking System;Target;8.0
1183;HYDRA;Tool;7.0
1184;GRISELDA;Tool;7.0
1185;Eyes;Tool;7.0
1186;IKS Eyes;Organization;8.0
1187;A0334;Organization;8.0
1188;Google Cloud;Organization;6.0
1189;iniqestgoclued;Individual;8.5
1190;vasilyi1997;Individual;8.5
1191;griselda-edu.com.ua;Domain;8.0
1192;griselda.biz.ua;Domain;8.0
1193;griselda.co.ua;Domain;8.0
1194;bitter-hall-1c0c.ochiplus.workers.dev;Domain;8.0
1195;falling-rice-4afa.ochiplus.workers.dev;Domain;8.0
1196;ochiplus.workers.dev;Domain;8.0
1197;Fire Cells Group;Hacker Group;9.0
1198;Ukrainian Enterprises;Target;8.0
1199;Ukrainian Individuals;Target;8.0
1200;REMCOS;Tool;7.0
1201;TEKTONITRMS;Tool;7.0
1202;MEDUZASTEALER;Tool;7.0
1203;XENORAT;Tool;7.0
1204;SECTOPRAT;Tool;7.0
1205;DARKTRACKRAT;Tool;7.0
1206;avoufshire.icu;Domain;8.0
1207;qwdfewf.com;Domain;8.0
1208;raw.githubusercontent.com;Domain;8.0
1209;ReserPlus;Target;8.0
1210;PhantomTools;Tool;7.0
1211;OceanicTools;Tool;7.0
1212;ReserPlus;Tool;7.0
1213;Town of Lake Lure;Target;8.0
1214;Ukrainian Military;Target;8.0
1215;UKRTelecom;Target;8.0
1216;Microsoft Remote Desktop;Tool;7.0
1217;mstsc;Tool;7.0
1218;Zero Trust Architecture Configuration;Tool;7.0
1219;Device Configuration Verification;Tool;7.0
1220;AWS IAM Quick Start;Tool;7.0
1221;AWS IAM Compliance Check;Tool;7.0
1222;AWS IAM Configuration;Tool;7.0
1223;Australia;Country;5.0
1224;Greece;Country;5.0
1225;Slovakia;Country;5.0
1226;Town of Lake Lure;Organization;8.0
1227;AWS;Organization;9.0
1228;yulia.antonenko;Individual;5.0
1229;alexandra.gerst;Individual;5.0
1230;oleksii.myronov;Individual;5.0
1231;townoflakelure.com;Domain;7.0
1232;ukrtelecom.cloud;Domain;8.0
1233;ca-central-1.awsplatform[.]online;Domain;8.0
1234;ca-west-1.mfa-gov[.]cloud;Domain;8.0
1235;central-2-aws.ua-aws[.]army;Domain;8.0
1236;eu-central-1-aws.mfa-gov[.]cloud;Domain;8.0
1237;eu-central-1.mfa-gov[.]cloud;Domain;8.0
1238;eu-central-1.ukrtelecom[.]cloud;Domain;8.0
1239;eu-central-2-aws.ua-aws[.]army;Domain;8.0
1240;eu-north-1-aws.ua-energy[.]cloud;Domain;8.0
1241;eu-north-1-aws.ua-gov[.]cloud;Domain;8.0
1242;eu-south-1-aws.mfa-gov[.]cloud;Domain;8.0
1243;eu-south-2-aws.mfa-gov[.]cloud;Domain;8.0
1244;eu-southeast-1-aws.gov-ua[.]cloud;Domain;8.0
1245;eu-southeast-1-aws.govtr[.]cloud;Domain;8.0
1246;eu-southeast-1-aws.zero-trust[.]solutions;Domain;8.0
1247;us-east-1-aws.mfa-gov[.]cloud;Domain;8.0
1248;us-east-2-aws.ua-gov[.]cloud;Domain;8.0
1249;us-east-console.awsplatform[.]online;Domain;8.0
1250;us-west-1-amazon.uk-energy[.]cloud;Domain;8.0
1251;us-west-1.aws-ukraine[.]cloud;Domain;8.0
1252;us-west-1.ua-aws[.]army;Domain;8.0
1253;us-west-1.ukrtelecom[.]cloud;Domain;8.0
1254;us-west-2-aws.mfa-gov[.]cloud;Domain;8.0
1255;zero-trust.solutions;Domain;8.0
1256;awsplatform.online;Domain;8.0
1257;aws-ukraine.cloud;Domain;8.0
1258;aws-s3.cloud;Domain;8.0
1259;aws-meet.cloud;Domain;8.0
1260;aws-il.cloud;Domain;8.0
1261;aws-data.cloud;Domain;8.0
1262;aws-meetings.cloud;Domain;8.0
1263;aws-secure.cloud;Domain;8.0
1264;aws-join.cloud;Domain;8.0
1265;aws-online.cloud;Domain;8.0
1266;gov-au[.]cloud;Domain;8.0
1267;gov-aws[.]cloud;Domain;8.0
1268;gov-fi[.]cloud;Domain;8.0
1269;gov-gr[.]cloud;Domain;8.0
1270;gov-lt[.]cloud;Domain;8.0
1271;gov-lv[.]cloud;Domain;8.0
1272;gov-pl[.]cloud;Domain;8.0
1273;gov-sk[.]cloud;Domain;8.0
1274;gov-trust[.]cloud;Domain;8.0
1275;gov-ua[.]cloud;Domain;8.0
1276;govps[.]cloud;Domain;8.0
1277;govtr[.]cloud;Domain;8.0
1278;govua[.]cloud;Domain;8.0
1279;eru-gov[.]cloud;Domain;8.0
1280;feedzai-gov[.]cloud;Domain;8.0
1281;md-gov[.]cloud;Domain;8.0
1282;mf-gov[.]cloud;Domain;8.0
1283;mo-gov[.]cloud;Domain;8.0
1284;mpo-gov[.]cloud;Domain;8.0
1285;mpsv-gov[.]cloud;Domain;8.0
1286;msmt-gov[.]cloud;Domain;8.0
1287;mv-gov[.]cloud;Domain;8.0
1288;my-gov[.]cloud;Domain;8.0
1289;mzd-gov[.]cloud;Domain;8.0
1290;mze-gov[.]cloud;Domain;8.0
1291;mzp-gov[.]cloud;Domain;8.0
1292;mzv-gov[.]cloud;Domain;8.0
1293;nakit-gov[.]cloud;Domain;8.0
1294;nbu-gov[.]cloud;Domain;8.0
1295;nukib-gov[.]cloud;Domain;8.0
1296;policie-gov[.]cloud;Domain;8.0
1297;mmr-gov[.]cloud;Domain;8.0
1298;uohs-gov[.]cloud;Domain;8.0
1299;uoou-gov[.]cloud;Domain;8.0
1300;vlada-gov[.]cloud;Domain;8.0
1301;voa-gov[.]cloud;Domain;8.0
1302;mfa-gov[.]cloud;Domain;8.0
1303;mfa-gov-il[.]cloud;Domain;8.0
1304;mfa-gov-tr[.]cloud;Domain;8.0
1305;mil-be[.]cloud;Domain;8.0
1306;mil-ee[.]cloud;Domain;8.0
1307;mil-pl[.]cloud;Domain;8.0
1308;mil-pt[.]cloud;Domain;8.0
1309;mod-gov-il[.]cloud;Domain;8.0
1310;s3-acronis[.]cloud;Domain;8.0
1311;s3-army[.]cloud;Domain;8.0
1312;s3-atlassian[.]cloud;Domain;8.0
1313;s3-aws[.]cloud;Domain;8.0
1314;s3-bah[.]cloud;Domain;8.0
1315;s3-be[.]cloud;Domain;8.0
1316;s3-blackberry[.]cloud;Domain;8.0
1317;s3-csis[.]cloud;Domain;8.0
1318;s3-de[.]cloud;Domain;8.0
1319;s3-dgap[.]cloud;Domain;8.0
1320;s3-dk[.]cloud;Domain;8.0
1321;s3-dnc[.]cloud;Domain;8.0
1322;s3-esa[.]cloud;Domain;8.0
1323;s3-fbi[.]cloud;Domain;8.0
1324;s3-hudson[.]cloud;Domain;8.0
1325;s3-ida[.]cloud;Domain;8.0
1326;s3-iri[.]cloud;Domain;8.0
1327;s3-knowbe4[.]cloud;Domain;8.0
1328;s3-marcus[.]cloud;Domain;8.0
1329;s3-monitoring[.]cloud;Domain;8.0
1330;s3-nato[.]cloud;Domain;8.0
1331;s3-ned[.]cloud;Domain;8.0
1332;s3-nsa[.]cloud;Domain;8.0
1333;s3-proofpoint[.]cloud;Domain;8.0
1334;s3-pt[.]cloud;Domain;8.0
1335;s3-rackspace[.]cloud;Domain;8.0
1336;s3-rand[.]cloud;Domain;8.0
1337;s3-spacex[.]cloud;Domain;8.0
1338;s3-state[.]cloud;Domain;8.0
1339;s3-stig[.]cloud;Domain;8.0
1340;s3-ua[.]cloud;Domain;8.0
1341;s3-ucia[.]cloud;Domain;8.0
1342;s3-zoho[.]cloud;Domain;8.0
1343;ua-aws.army;Domain;8.0
1344;ua-energy[.]cloud;Domain;8.0
1345;ua-gov[.]cloud;Domain;8.0
1346;ua-mil[.]cloud;Domain;8.0
1347;ua-sec[.]cloud;Domain;8.0
1348;ua-se[.]cloud;Domain;8.0
1349;ua-sn[.]cloud;Domain;8.0
1350;VBS script Пароль.vbe;Tool;7.0
1351;WEXTRACT;Tool;7.0
1352;HostZealot;Organization;9.0
1353;Python Software Foundation;Organization;9.0
1354;edisk.in.ua;Domain;8.0
1355;edisk.ukrnet.01mirror.com.ua;Domain;8.0
1356;staticgl.one;Domain;8.0
1357;winupmirror.support;Domain;8.0
1358;ukrnames.com;Domain;8.0
1359;swiftydns.com;Domain;8.0
1360;registrar-servers.com;Domain;8.0
1361;01mirror.com.ua;Domain;8.0
1362;Local Self-Government Email Accounts;Target;8.0
1363;State Organization Email Accounts;Target;8.0
1364;Browser;Tool;7.0
1365;SSH;Tool;7.0
1366;Metasploit;Tool;7.0
1367;Local Self-Government;Organization;8.0
1368;State Organization;Organization;8.0
1369;mail.zhblz.com;Domain;8.0
1370;docs.google.com.spreadsheets.d.1ip6eeakdebmwteh36vana4hu-glaeksstsht-boujdk.zhblz.com;Domain;8.0
1371;doc.gmail.com.gyehddhrggdii323sdhnshiswh2udhqjwdhhfjcjeuejcj.zhblz.com;Domain;8.0
1372;State Tax Service of Ukraine;Target;8.0
1373;LITEMANAGER;Tool;7.0
1374;LiteManager Pro;Tool;7.0
1375;ROMFUSClient;Tool;7.0
1376;ROMServer;Tool;7.0
1377;msiexec;Tool;7.0
1378;pdf.msi;Tool;7.0
1379;Електронний запит документів податкової служби.pdf;Tool;7.0
1380;State Tax Service of Ukraine;Organization;8.0
1381;tax-gov-ua.com;Domain;7.0
1382;dpsu-gov-ua.com;Domain;7.0
1383;qaz.im;Domain;8.0
1384;qaz.is;Domain;8.0
1385;qaz.su;Domain;8.0
1386;UNC4221;Hacker Group;9.0
1387;Ukrainian Union of Industrialists and Entrepreneurs (UPSPE);Target;8.0
1388;ТЕНЕТА;Target;8.0
1389;КРОПИВА;Target;8.0
1390;Computers of Defense Industry Enterprise Employees;Target;8.0
1391;start.hta;Tool;7.0
1392;update;Tool;7.0
1393;Registry.hta;Tool;7.0
1394;Main.bat;Tool;7.0
1395;.lnk;Tool;7.0
1396;MESHAGENT;Tool;7.0
1397;ULTRAVNC;Tool;7.0
1398;EdgeUpdate;Tool;7.0
1399;Ukrainian Union of Entrepreneurs;Organization;8.0
1400;uspp.derzhposluhy.com;Domain;7.0
1401;device.redirecl.com;Domain;8.0
1402;live.outloolc.com;Domain;8.0
1403;mail.outloolc.com;Domain;8.0
1404;svc.odwebp.com;Domain;8.0
1405;get.god-le.com;Domain;8.0
1406;account-viewer.com;Domain;8.0
1407;cloud.account-viewer.com;Domain;8.0
1408;plntr.account-viewer.com;Domain;8.0
1409;ivanti.account-viewer.com;Domain;8.0
1410;get.in-touc.com;Domain;8.0
1411;get.mail-gov.com;Domain;8.0
1412;get.sign-cert.com;Domain;8.0
1413;my.mail-gov.net;Domain;8.0
1414;stellar.account-viewer.com;Domain;8.0
1415;i-ua.account-guard.site;Domain;8.0
1416;telegram.defender-bot.site;Domain;8.0
1417;telegram.token-defender.cloud;Domain;8.0
1418;account-guard.site;Domain;8.0
1419;defender-bot.site;Domain;8.0
1420;token-defender.cloud;Domain;8.0
1421;kropyva.group;Domain;8.0
1422;teneta.group;Domain;8.0
1423;group-teneta.online;Domain;8.0
1424;group.teneta.site;Domain;8.0
1425;plntr.mirotrent.com;Domain;8.0
1426;mirotrent.com;Domain;8.0
1427;outloolc.com;Domain;8.0
1428;dhl.redirecl.com;Domain;8.0
1429;drive.redirecl.com;Domain;8.0
1430;check.sign-cert.com;Domain;8.0
1431;sign-cert.com;Domain;8.0
1432;sign-cert.net;Domain;8.0
1433;confirm.sign-cert.com;Domain;8.0
1434;UAC-0099;Hacker Group;9.0
1435;Forestry;Target;8.0
1436;Forensic Medicine Institutions;Target;8.0
1437;Factories;Target;8.0
1438;State Organizations;Target;8.0
1439;LONEPAGE;Tool;7.0
1440;UpdateOfficeCore;Tool;7.0
1441;update.win.app.com;Tool;7.0
1442;app.lib.conf;Tool;7.0
1443;schtasks;Tool;7.0
1444;gosp16.spd.ics.gov.ua;Organization;8.0
1445;captcha-challenge.com;Organization;9.0
1446;newyorktlimes.life;Organization;9.0
1447;webappapiservice.life;Organization;9.0
1448;gosp16.spd.ics.gov.ua;Domain;7.0
1449;captcha-challenge.com;Domain;8.0
1450;newyorktlimes.life;Domain;8.0
1451;webappapiservice.life;Domain;8.0
1452;update.win.app.com;Domain;8.0
